id,migration,batch
1,2014_10_12_000000_create_users_table,1
2,2014_10_12_100000_create_password_resets_table,1
3,2018_01_01_000000_create_action_events_table,1
4,2018_08_08_100000_create_telescope_entries_table,1
5,2019_05_10_000000_add_fields_to_action_events_table,1
6,2019_08_19_000000_create_failed_jobs_table,1
7,2019_12_14_000001_create_personal_access_tokens_table,1
8,2021_08_25_193039_create_nova_notifications_table,1
9,2022_04_26_000000_add_fields_to_nova_notifications_table,1
10,2022_12_19_000000_create_field_attachments_table,1
11,2024_05_12_101846_add_more_fields_to_users_table,1
12,2024_05_12_102757_create_devices_table,1
13,2024_05_19_112302_add_photos_to_users_table,1
14,2024_06_09_141333_create_o_t_p_s_table,1
15,2024_06_15_093724_create_posts_table,1
16,2024_06_15_093755_create_post_photos_table,1
17,2024_06_30_111142_create_notifications_table,1
20,2024_08_19_113033_create_travelers_table,2
21,2024_08_19_113312_create_chats_table,2
22,2024_09_06_232652_create_bots_table,3
23,2024_09_06_234238_add_bot_id_to_chats_table,4
24,2024_09_07_001045_create_categories_table,5
26,2024_09_07_001142_add_more_fields_to_bots_table,6
27,2024_09_07_115555_add_main_location_to_bots_table,7
28,2024_09_07_115743_add_opening_hours_to_bots_table,8
29,2024_09_07_134320_create_menus_table,9
30,2024_09_07_191343_create_flows_table,10
31,2024_09_07_191440_create_states_table,10
33,2024_09_08_083211_add_unavailable_message_to_bots_table,11
34,2024_09_08_091132_create_objects_table,12
38,2024_09_08_135642_add_more_e_columns_to_menus_table,13
39,2024_09_08_135842_create_menu_items_table,13
40,2024_09_08_140140_add_menu_item_id_to_objecs_table,13
43,2024_09_09_115139_create_companies_table,14
44,2024_09_09_161957_create_plans_table,15
45,2024_09_09_163442_add_plan_id_to_companies_table,16
47,2024_09_11_102724_create_knowledges_table,17
48,2024_09_12_111022_add_more_fieldts_to_chats_table,18
49,2024_09_13_100050_add_prompt_to_bots_table,19
50,2024_09_13_113742_create_bot_user_table,20
51,2024_09_16_162500_create_medias_table,21
52,2024_09_17_215847_add_model_to_bots_table,22
53,2024_09_26_131106_create_refugees_table,23
54,2024_10_03_211158_add_rate_limit_to_bots_table,24
55,2025_01_06_104513_create_restaurants_table,25
56,2025_01_06_111835_add_menu_column_to_restaurants_table,26
57,2025_01_06_120656_add_welcome_message_to_restaurants_table,27
58,2025_01_06_145119_add_bot_id_to_restaurants_table,28
59,2025_06_19_231607_add_assistant_fields_to_bots_table,29
60,2025_06_19_233119_create_assistant_threads_table,30
61,2025_06_20_161134_create_orders_table,31
62,2025_06_20_161218_create_order_items_table,31
